Kategori: Semua kategori

Wilayah,"Debat Pertama Capres 2024: (07/12/23, 20.29 - 14/12/23, 20.29)"
Nusa Tenggara Timur,100
Daerah Khusus Ibukota Jakarta,69
Daerah Istimewa Yogyakarta,60
Kalimantan Barat,60
Sumatera Barat,59
Sulawesi Selatan,55
Jawa Tengah,53
Jawa Timur,47
Riau,46
Banten,46
Sumatera Utara,44
Jawa Barat,40
Bali,34
Sumatera Selatan,28
Sulawesi Barat,
Nusa Tenggara Barat,
Kepulauan Bangka Belitung,
Papua,
Kepulauan Riau,
Jambi,
Aceh,
Kalimantan Timur,
Maluku,
Sulawesi Tenggara,
Lampung,
Sulawesi Tengah,
Kalimantan Selatan,
Sulawesi Utara,
Kalimantan Tengah,
Bengkulu,
Gorontalo,
Kalimantan Utara,
Maluku Utara,
Papua Barat,
