Kategori: Semua kategori
"Debat Pertama Capres 2024: (07/12/23, 20.29 - 14/12/23, 20.29, Indonesia)"

TOP
2024,100
Presidential nominee,99
Debat,98
Pemilihan presiden,15
Anies Baswedan,15
Pemilihan umum Presiden Indonesia 2024,14
Ganjar Pranowo,13
Gibran Rakabuming Raka,13
pernyataan,12
Alam,11
Metodologi survei,11
Prabowo Subianto,8
Tema,8
Debat,6
Kompas,5
Wawas diri,4
Hak asasi manusia,4
Mahfud MD,4
PDI Perjuangan,4
Partai Demokrasi Indonesia Perjuangan,4
Presiden,4
Pelanggaran HAM berat,4
Berat,4
Debat Capres 2024,3
Kampus,3

RISING
Anies Baswedan,Pesat
Ganjar Pranowo,Pesat
Gibran Rakabuming Raka,Pesat
pernyataan,Pesat
Alam,Pesat
Metodologi survei,Pesat
Prabowo Subianto,Pesat
Tema,Pesat
Kompas,Pesat
PDI Perjuangan,Pesat
Partai Demokrasi Indonesia Perjuangan,Pesat
Pelanggaran HAM berat,Pesat
Berat,Pesat
Debat Capres 2024,Pesat
Kampus,Pesat
Universitas Prima Indonesia,Pesat
Jenazah,Pesat
Moderator,Pesat
Sungai,Pesat
Pengangguran,Pesat
Orang Belanda,Pesat
Belanda,Pesat
KPU,Pesat
Komisi Pemilihan Umum Republik Indonesia,Pesat

